"slug","oldPlacementCount","newPlacementCount","classification","products","placementTypes","reasonForAddedPlacement","status"
"bmw-bidirectional-scan-tool-functions","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiCOM MK900-BT","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-brake-bleed-scan-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiDiag MD909 Pro","product_card","(none — one placement sufficient)","OK"
"bmw-code-reader-vs-scan-tool","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX, Autel MaxiDAS DS808S-BT","comparison_card","(none — one placement sufficient)","OK"
"bmw-coding-vs-programming","1","1","ONE_PLACEMENT_SUFFICIENT","Schumacher Electric INC100","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-diagnostic-software-windows","1","1","ONE_PLACEMENT_SUFFICIENT","Schumacher Electric INC100","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-electric-parking-brake-service-mode-scanner","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiDiag MD909 Pro","product_card","(none — one placement sufficient)","OK"
"bmw-electronic-water-pump-diagnostic-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Innova 5610 + 3380 bundle","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-enet-vs-bluetooth-obd","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-f-series-vs-g-series-obd-adapter","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-frm-module-diagnostic-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Fluke 88V Deluxe Automotive Multimeter","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-icom-vs-enet","1","1","ONE_PLACEMENT_SUFFICIENT","Schumacher Electric INC100","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-icom-vs-k-dcan","1","1","ONE_PLACEMENT_SUFFICIENT","Schumacher Electric INC100","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-injector-coding-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiDiag MD909 Pro","product_card","(none — one placement sufficient)","OK"
"bmw-no-communication-with-obd-scanner","1","1","ONE_PLACEMENT_SUFFICIENT","Fluke 88V Deluxe Automotive Multimeter","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-ride-height-calibration-scan-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiSYS Ultra","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-scanner-abs-airbag-codes","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiCheck MX900","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-scanner-for-used-car-inspection","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiDAS DS808S-BT","product_card","(none — one placement sufficient)","OK"
"bmw-scanner-without-subscription","1","1","ONE_PLACEMENT_SUFFICIENT","Innova 5610 + 3380 bundle","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-service-reset-tool","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-steering-angle-sensor-calibration-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiCheck MX808S","recommended_equipment","(none — one placement sufficient)","OK"
"bmw-tpms-diagnostic-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiCheck MX808S, Autel MaxiCheck MX808S-TS","comparison_card","(none — one placement sufficient)","OK"
"bmw-transfer-case-adaptation-reset-tool","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiSYS Ultra","recommended_equipment","(none — one placement sufficient)","OK"
"carly-subscription-cost","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"carly-vs-foxwell-nt530","1","1","ONE_PLACEMENT_SUFFICIENT","AUTOPHIX 7910P+","recommended_equipment","(none — one placement sufficient)","OK"
"creator-c310-plus-vs-foxwell-nt530","1","1","ONE_PLACEMENT_SUFFICIENT","Creator C310+","product_card","(none — one placement sufficient)","OK"
"foxwell-nt530-vs-autel-mk808s-bmw","1","1","ONE_PLACEMENT_SUFFICIENT","Autel MaxiCheck MX808S","recommended_equipment","(none — one placement sufficient)","OK"
"foxwell-nt530-vs-nt710","1","1","ONE_PLACEMENT_SUFFICIENT","AUTOPHIX 7910P+","recommended_equipment","(none — one placement sufficient)","OK"
"ista-valvetronic-relearn","1","1","ONE_PLACEMENT_SUFFICIENT","Schumacher Electric INC100","recommended_equipment","(none — one placement sufficient)","OK"
"ista-vs-bimmerlink","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"k-dcan-vs-enet-cable","1","1","ONE_PLACEMENT_SUFFICIENT","Schumacher Electric INC100","recommended_equipment","(none — one placement sufficient)","OK"
"launch-x431-bmw","1","1","ONE_PLACEMENT_SUFFICIENT","LAUNCH Creader Elite V2.0 for BMW, LAUNCH X-431 PRO3S+","comparison_card","(none — one placement sufficient)","OK"
"launch-x431-vs-autel-for-bmw","1","1","ONE_PLACEMENT_SUFFICIENT","LAUNCH X-431 PRO3S+, Autel MaxiSYS Ultra","comparison_card","(none — one placement sufficient)","OK"
"mini-diagnostic-app","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"obd-app-vs-handheld-scanner","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX, Autel MaxiCheck MX808S","comparison_card","(none — one placement sufficient)","OK"
"obdlink-cx-vs-lx","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX, OBDLink LX","comparison_card","(none — one placement sufficient)","OK"
"obdlink-cx-vs-mx-plus","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX, OBDLink MX+","comparison_card","(none — one placement sufficient)","OK"
"obdlink-cx-vs-vlinker-bm-plus","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX, Vgate vLinker BM+","comparison_card","(none — one placement sufficient)","OK"
"obdlink-cx-vs-vlinker-mc-plus","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX, Vgate vLinker MC+","comparison_card","(none — one placement sufficient)","OK"
"obdlink-ex-vs-enet-cable","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink EX","product_card","(none — one placement sufficient)","OK"
"obdlink-mx-plus-vs-lx","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink MX+, OBDLink LX","comparison_card","(none — one placement sufficient)","OK"
"obdlink-mx-plus-vs-vlinker-bm-plus","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink MX+, Vgate vLinker BM+","comparison_card","(none — one placement sufficient)","OK"
"protool-pricing","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"protool-vs-carly","1","1","ONE_PLACEMENT_SUFFICIENT","OBDLink CX","recommended_equipment","(none — one placement sufficient)","OK"
"protool-vs-ista","1","1","ONE_PLACEMENT_SUFFICIENT","Schumacher Electric INC100","recommended_equipment","(none — one placement sufficient)","OK"
"vlinker-bm-plus-vs-mc-plus","1","1","ONE_PLACEMENT_SUFFICIENT","Vgate vLinker BM+, Vgate vLinker MC+","comparison_card","(none — one placement sufficient)","OK"
