"productKey","brand","model","proposedImageSource","imageMode","rightsStatus","evidenceLocation","manufacturerPageUrl","attribution","verifiedAt","imageSha256","reviewedBy"
"foxwell-nt530","Foxwell","NT530","/images/products/foxwell-nt530-category.svg","site_owned","site_owned","/images/products/foxwell-nt530-category.svg","https://www.foxwelldiag.com/products/foxwell-nt530","Category illustration by Chassis Signal.","2026-09-12T19:42:08.000Z","B15860A34D359B868FAD13BBF945536B230316C1AE6779336BC2F042A6F07270","Codex (official-source verification)"
"innova-5610-bundle","Innova","5610 + 3380 bundle","/images/products/innova-5610-bundle-category.svg","site_owned","site_owned","/images/products/innova-5610-bundle-category.svg","https://www.innova.com/collections/innova-obd2-scanners/products/carscan-pro-5610","Category illustration by Chassis Signal.","2026-09-12T19:42:08.000Z","75DB030904C06244F636C801E065D684DD3DAD3F348FC0211626EC5FFBAEE346","Codex (official-source verification)"
"launch-creader-elite-bmw-v2","LAUNCH","Creader Elite V2.0 for BMW","/images/products/launch-creader-elite-v2-official.png","manufacturer_source","manufacturer_attributed_editorial","https://en.cnlaunch.com/tmp/thumbnail/471dd1b53e02f1185515d4dd9fdc7bea.580x580.0.png","https://en.cnlaunch.com/products-detail/i-281.html","Product image: LAUNCH.","2026-09-12T19:42:08.000Z","C64EA17432D1D3C8AB12205EA08C4F5A0D58E056CB21E687ABDA67515449A41B","Codex (official-source verification)"
"launch-x431-pro3s-plus","LAUNCH","X-431 PRO3S+","/images/products/launch-x431-pro3s-plus-official.png","manufacturer_source","manufacturer_attributed_editorial","https://en.cnlaunch.com/tmp/thumbnail/24808de824a0dd09ac1964c583c60406.580x580.0.png","https://en.cnlaunch.com/products-detail/i-314.html","Product image: LAUNCH.","2026-09-12T19:42:08.000Z","6D4354D9376EF72CDCFCAC01026E91BFFCDD3F681D7D91F5CB6BDB68E7A9D082","Codex (official-source verification)"
"obdlink-cx","OBDLink","CX","/images/products/obdlink-cx-official.jpg","manufacturer_source","manufacturer_attributed_editorial","https://www.obdlink.com/wp-content/uploads/2020/11/0-main_image-202403.jpg","https://www.obdlink.com/products/obdlink-cx/","Product image: OBDLink.","2026-09-12T11:16:39.927Z","71D0D17DD3027118E4F5B3FB35CB79A4F45DC04B50B2FE9607D019D2E2FA04D6","Muhammad Farhan"
"obdlink-ex","OBDLink","EX","/images/products/obdlink-ex-official.webp","manufacturer_source","manufacturer_attributed_editorial","https://www.obdlink.com/wp-content/uploads/2020/07/ex_store_image_sm.webp","https://www.obdlink.com/products/obdlink-ex/","Product image: OBDLink.","2026-09-12T19:42:08.000Z","1966493F7B0C599DC339C8E647AF413889BF63446CA4B3CB075076EADEE58799","Codex (official-source verification)"
"obdlink-lx","OBDLink","LX","/images/products/obdlink-lx-official.png","manufacturer_source","manufacturer_attributed_editorial","https://www.obdlink.com/wp-content/uploads/2013/09/lx_store.png","https://www.obdlink.com/products/obdlink-lx/","Product image: OBDLink.","2026-09-12T19:42:08.000Z","05BB6421A58A78A08C552A43BC843091BD810F8794C2C40FD035D36081339285","Codex (official-source verification)"
"obdlink-mx-plus","OBDLink","MX+","/images/products/obdlink-mx-plus-official.jpg","manufacturer_source","manufacturer_attributed_editorial","https://www.obdlink.com/wp-content/uploads/2020/07/main_2024.jpg","https://www.obdlink.com/products/obdlink-mxp/","Product image: OBDLink.","2026-09-12T19:42:08.000Z","83605CD089E4CE5D8159BE0725D3EB716FDEBEB1CA477B64A755BBED9C34C259","Codex (official-source verification)"
"schumacher-inc100","Schumacher Electric","INC100","/images/products/schumacher-inc100-official.webp","manufacturer_source","manufacturer_attributed_editorial","https://cdn.schumacherelectric.com/wp-content/uploads/2021/07/INC100_US_Can_image__14240.1630477954.1280.1280.webp","https://www.schumacherelectric.com/products/100a-flash-reprogrammer-power-supply-with-battery-support/","Product image: Schumacher Electric.","2026-09-12T19:42:08.000Z","61D39794D9472AA9ACDDAEFE213DE9732CDC71B8ABF6907F87A45772BC59453D","Codex (official-source verification)"
"vlinker-bm-plus","Vgate","vLinker BM+","/images/products/vlinker-bm-plus-official.jpg","manufacturer_source","manufacturer_attributed_editorial","https://www.vgatemall.com/u_file/fileUpload/2022-11/09/2022110910486.jpg","https://www.vgatemall.com/products-detail/i-15/","Product image: Vgate.","2026-09-12T19:42:08.000Z","19EAD894CCA0CF2FA2118015ACE802C5586DD75DA5B21D75D349D449143BAA9C","Codex (official-source verification)"
"vlinker-mc-plus","Vgate","vLinker MC+","/images/products/vlinker-mc-plus-official.jpg","manufacturer_source","manufacturer_attributed_editorial","https://www.vgatemall.com/u_file/fileUpload/2022-11/08/2022110829805.jpg","https://www.vgatemall.com/products-detail/i-5/","Product image: Vgate.","2026-09-12T19:42:08.000Z","8B33F0BB3A5A7233733617DFFDE9D7587669F00BE0EE6A69316CF815C2CA71C8","Codex (official-source verification)"
